공연명,공연장소,공연시작일,공연종료일,이미지,예매링크,위도,경도,주소
［로터리 티켓］ 뮤지컬 〈브로드웨이 42번가〉,샤롯데씨어터,2025-07-01,2025-07-25,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009169_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009169,37.51064272,127.099714,서울 송파구 잠실동 40-1
［만원의행복］ 2025 가족뮤지컬 〈백설공주와 일곱난쟁이〉 - 중랑,중랑구민회관 대공연장,2025-07-26,2025-07-26,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25007464_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25007464,37.57371344,127.0849143,서울 중랑구 면목동 378-8
［만원의행복］ 2025애니메이션스토리 가족뮤지컬〈겨울이야기〉 - 중랑,중랑구민회관 대공연장,2025-10-11,2025-10-11,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25010636_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25010636,37.57371344,127.0849143,서울 중랑구 면목동 378-8
［만원의행복］2025 가족뮤지컬 〈신데렐라〉 - 서울 강동,강동구민회관 대강당,2025-08-16,2025-08-16,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009307_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009307,37.54571795,127.1411043,서울 강동구 천호동 41
［만원의행복］2025가족뮤지컬 〈겨울이야기〉 - 구로,구로구민회관,2025-08-30,2025-08-30,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009306_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009306,37.49712534,126.8895926,서울 구로구 구로동 102
［만원의행복］2025가족뮤지컬〈백설공주〉 - 서울 강서,강서구민회관 우장홀,2025-09-06,2025-09-06,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009322_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009322,37.55343651,126.8436485,서울 강서구 내발산동 산 4-5
［만원의행복］2025가족뮤지컬〈프린세스 공주뮤지컬쇼〉 - 구로,구로구민회관,2025-10-11,2025-10-11,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25010628_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25010628,37.49712534,126.8895926,서울 구로구 구로동 102
［서울］ 가족뮤지컬 〈읽으면서 바로 써먹는 어린이 감정표현〉 - 관악,관악아트홀,2025-07-26,2025-07-27,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25007860_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25007860,37.46775513,126.9448337,서울 관악구 신림동 209-1
［서울］ 시끌시끌 경연대회 클래식 VS 재즈,CKL스테이지,2025-08-02,2025-08-03,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009497_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009497,37.5685816,126.9813186,서울 중구 다동 10
［서울］ 싱어롱 콘서트 뮤지컬 ＇Live Show＇ 〈무지개 물고기〉 - 강서,강서구민회관 우장홀,2025-08-09,2025-08-09,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009768_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009768,37.55343651,126.8436485,서울 강서구 내발산동 산 4-5
［서울］뮤지컬 위시캣〈소원을 노래해!〉,유니버설아트센터,2025-08-09,2025-08-24,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25007579_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25007579,37.55090878,127.0879756,서울 광진구 능동 25
［서울］뮤지컬 한글용사 아이야 새로운 이야기 〈달라도 친구야!〉,유니버설아트센터,2025-07-12,2025-08-03,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25006826_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25006826,37.55090878,127.0879756,서울 광진구 능동 25
［신도림］뮤지컬 한글용사 아이야 새로운 이야기 〈달라도 친구야!〉,디큐브 링크아트센터,2025-09-13,2025-09-21,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25010160_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25010160,37.50912673,126.8895885,서울 구로구 신도림동 692
［피크닉#17］ 뮤지컬〈쇼맨_어느 독재자의 네 번째 대역배우〉,국립정동극장,2025-07-26,2025-07-29,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008705_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008705,37.56585893,126.9727758,서울 중구 정동 8-11
［피크닉#19］ 뮤지컬 〈웨이스티드〉,플러스씨어터,2025-08-27,2025-08-29,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009922_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009922,37.58082572,127.0039715,서울 종로구 동숭동 1-144
［해피 썸머 와글와글］  가족매지컬 〈마술고양이〉,마포아트센터 플레이맥,2025-07-26,2025-08-17,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25007143_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25007143,37.54993677,126.945627,서울 마포구 대흥동 30-3
［NOL 스페셜 스테이지］ 뮤지컬 〈맘마미아!〉,LG아트센터 서울 LG SIGNATURE 홀,2025-09-13,2025-09-14,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25010453_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25010453,37.565202,126.829652,서울 강서구 마곡중앙로 136
［NOL 스페셜 스테이지］ 뮤지컬 〈위키드〉 내한 공연(WICKED The Musical),블루스퀘어 신한카드홀,2025-08-23,2025-08-23,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009222_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009222,37.54070618,127.0023196,서울 용산구 한남동 727-56
“100만부판매” 베스트셀러 뮤지컬〈누가 내머리에 똥쌌어？!〉 - 서울양천,목동 방송회관 2층 코바코홀,2025-09-03,2025-09-28,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008816_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008816,37.527127,126.871535,서울 양천구 목동동로 233
〈슬립노모어 서울〉 (Sleep No More Seoul),매키탄 호텔 (The McKithan Hotel),2025-07-24,2025-08-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008376_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008376,37.56108309,126.995355,서울 중구 필동2가 19-1
〈착한가격〉가족뮤지컬“아기돼지삼형제” - 서울 도봉,도봉구민회관 하모니홀,2025-08-09,2025-08-10,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25006519_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25006519,37.65418878,127.0384845,서울 도봉구 창동 303
2025 〈더:매직서커스〉 - 서울강북,강북문화예술회관 강북소나무홀,2025-08-23,2025-08-23,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008906_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008906,37.64084625,127.0131658,서울 강북구 수유동 360-10
"2025 가족뮤지컬 〈엄마까투리 - 유치원도, 도시도 처음이야〉 - 용산",용산아트홀 대극장 미르,2025-07-26,2025-07-27,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25007509_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25007509,37.53284548,126.9903108,서울 용산구 이태원동 34-87
2025 가족뮤지컬 〈에그박사 - 해적 보물섬의 비밀〉,이화여자대학교 삼성홀,2025-07-26,2025-08-17,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25006797_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25006797,37.56155769,126.9467001,서울 서대문구 대현동 11-1
2025 가족뮤지컬 〈틀려도 괜찮아〉 - 노원,노원구민의전당 (구.노원구민회관),2025-08-02,2025-08-02,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008860_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008860,37.638913,127.066428,서울 노원구 동일로 1229
2025 가족퍼포먼스쇼 〈아쿠아쇼-바닷속버블왕국〉 - 서울 성북,꿈빛극장,2025-08-30,2025-08-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008355_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008355,37.60375575,127.0221963,서울 성북구 길음동 1286-8
2025 라이브 가족뮤지컬〈라푼젤〉 - 서울 구로,오류아트홀,2025-09-20,2025-09-20,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009999_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009999,37.49535749,126.8460358,서울 구로구 오류동 64-28
2025 라이브 가족뮤지컬〈라푼젤〉 - 서울양천,한국방송회관 2층 코바코홀,2025-10-03,2025-10-26,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25010095_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25010095,37.527082,126.871372,서울 양천구 목동동로 233
2025 뮤지컬 〈바다 100층짜리 집〉,성균관대학교 새천년홀,2025-07-05,2025-08-20,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25005986_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25005986,37.58743535,126.9945518,서울 종로구 명륜3가 53-21
2025 최현우 아판타시아 - 서울,연세대학교 백주년기념관 콘서트홀,2025-08-15,2025-08-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25006857_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25006857,37.56196066,126.9379349,서울 서대문구 신촌동 134
2025. 가족뮤지컬 〈 라푼젤 〉 - 강동,강동구민회관 대강당,2025-08-02,2025-08-02,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009083_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009083,37.54571795,127.1411043,서울 강동구 천호동 41
가족매직컬 “공룡 애니멀쇼 시즌2” - 서울 도봉,도봉구민회관 하모니홀,2025-07-26,2025-07-26,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25007482_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25007482,37.65418878,127.0384845,서울 도봉구 창동 303
가족매직컬 “공룡 애니멀쇼” - 노원,노원구민의전당(구.노원구민회관),2025-08-16,2025-08-16,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008523_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008523,37.638913,127.066428,서울 노원구 동일로 1229
가족뮤지컬 〈뚜식이 : 뚜식이라서 다행이야!〉 - 서울앵콜,디큐브 링크아트센터,2025-08-23,2025-09-07,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008633_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008633,37.50912673,126.8895885,서울 구로구 신도림동 692
가족뮤지컬 〈로보카폴리 - 브룸스타운의 에너지를 지켜라!〉,영등포아트홀,2025-08-30,2025-08-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008646_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008646,37.5262029,126.9001183,서울 영등포구 당산동3가 3
가족뮤지컬 〈반짝반짝 백설공주〉,달밤엔씨어터,2025-07-12,2025-07-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009822_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009822,37.58400086,127.002681,서울 종로구 혜화동 194
가족뮤지컬 〈책 먹는 여우〉 - 서울 금천,금나래아트홀(금천구청내),2025-08-23,2025-08-23,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009851_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009851,37.456865,126.895427,서울 금천구 시흥대로73길 70 금천구청
강남문화재단 8월 키즈예술공연,강남씨어터,2025-08-16,2025-08-16,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25010562_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25010562,37.49536124,127.0332339,서울 강남구 역삼동 829-20
국립창극단 〈2025 창극 작가 프로젝트 시연회〉,국립극장 하늘극장,2025-09-27,2025-09-28,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009905_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009905,37.55285978,127.0004255,서울 중구 장충동2가 산 14-67
국립창극단 〈심청〉,국립극장 해오름극장,2025-09-03,2025-09-06,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25010374_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25010374,37.5523399,126.9997284,서울 중구 장충동2가 산 14-67
국립창극단 〈이날치傳〉,국립극장 달오름극장,2025-11-21,2025-11-29,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009319_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009319,37.55313999,127.0000272,서울 중구 장충동2가 산 14-67
그 날 2025,DGT 아트센터,2025-08-15,2025-08-15,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25010552_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25010552,37.54365314,126.9468893,서울 마포구 염리동 172-15
까를로의 피노키오 여행 - 도봉,도봉구민회관 하모니홀,2025-08-22,2025-08-22,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008944_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008944,37.65418878,127.0384845,서울 도봉구 창동 303
꿈의숲 어린이뮤지컬〈브레멘 음악대〉,꿈의숲_퍼포먼스홀,2025-07-26,2025-07-27,http://ticketimage.interpark.com/rz/image/play/goods/poster/P0/P0004315_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=P0004315,37.62167043,127.0384723,서울 강북구 번동 90
난타(NANTA) - 명동공연,명동난타극장,2022-07-08,2025-12-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/22/22006637_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=22006637,37.5634679,126.9837511,서울 중구 명동2가 50-14
난타(NANTA) - 홍대공연,홍대난타극장,2023-11-16,2025-12-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/23/23012005_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23012005,37.55319296,126.9211613,서울 마포구 서교동 357-5
대학로 세비야의 이발사,NOL 유니플렉스 3관,2025-03-14,2026-03-04,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25001969_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25001969,37.58120416,127.0035232,서울 종로구 동숭동 1-99
더 메모리,한성아트홀,2025-09-06,2025-12-27,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009313_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009313,37.58376303,126.9999502,서울 종로구 명륜2가 41-4
런던레코드,엠스테이지 2관,2024-08-15,2025-12-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/24/24010377_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=24010377,37.574146,126.985786,서울 종로구 인사동길 34-1
리얼공룡쇼 〈포켓다이노〉 - 서울 강동,강동구민회관 대강당,2025-09-06,2025-09-06,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25010616_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25010616,37.54571795,127.1411043,서울 강동구 천호동 41
매직컬〈세상 참 예쁜 오드리〉,스튜디오 블루,2025-07-22,2025-08-03,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008620_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008620,37.58245835,127.0032606,서울 종로구 동숭동 1-73
명작 가족뮤지컬 〈오즈의 마법사〉,달밤엔씨어터,2025-07-12,2025-07-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009821_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009821,37.58400086,127.002681,서울 종로구 혜화동 194
목마른 야채,오유아트홀,2025-07-31,2025-08-01,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008507_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008507,37.48373561,127.0463748,서울 강남구 도곡동 459
뮤지컬 〈가방 들어주는 아이들〉,한국방송회관 2층 코바코홀,2025-07-19,2025-08-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25007614_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25007614,37.527082,126.871372,서울 양천구 목동동로 233
뮤지컬 〈개와 고양이의 시간〉,대학로 더굿씨어터,2025-05-21,2025-08-10,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25005844_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25005844,37.58398195,127.0020651,서울 종로구 혜화동 185
뮤지컬 〈관부연락선〉,링크아트센터드림 드림2관,2025-07-31,2025-10-12,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009533_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009533,37.583296,127.003291,서울 종로구 동숭길 123
뮤지컬 〈긴긴밤〉 - 금천,금나래아트홀(금천구청내),2025-08-08,2025-08-09,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008796_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008796,37.456865,126.895427,서울 금천구 시흥대로73길 70 금천구청
뮤지컬 〈김종욱 찾기〉,브릭스씨어터,2024-01-01,2025-08-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/23/23018708_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23018708,37.58095367,127.003702,서울 종로구 동숭동 1-93
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한공연 한국투어 20주년,세종문화회관 대극장,2025-09-03,2025-09-27,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008192_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008192,37.57259452,126.9757787,서울 종로구 세종로 81-3
"뮤지컬 〈다시, 동물원〉",동덕여자대학교 공연예술센터 코튼홀,2025-06-26,2025-09-14,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25007139_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25007139,37.583716,127.002988,서울 종로구 동숭길 134
뮤지컬 〈달샤베트〉 2025 어린이 가족 페스티벌,예술의전당 자유소극장,2025-08-01,2025-08-23,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25006169_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25006169,37.4796362,127.0138746,서울 서초구 서초동 700
뮤지컬 〈더 크리처〉,대학로 자유극장,2025-06-16,2025-08-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25006126_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25006126,37.58274305,127.0036138,서울 종로구 동숭동 1-45
뮤지컬 〈두 낫 디스터브〉,NOL 서경스퀘어 스콘 1관,2025-06-10,2025-08-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25006546_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25006546,37.58353,127.002163,서울 종로구 혜화동 179-4
뮤지컬 〈등등곡〉,예스24스테이지 1관,2025-06-24,2025-09-14,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25006845_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25006845,37.58275567,127.0032606,서울 종로구 동숭동 1-52
뮤지컬 〈르 마스크〉,et theatre 1 (이티 씨어터 원),2025-08-06,2025-11-09,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009176_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009176,37.58707,126.999774,서울 종로구 혜화로 17
뮤지컬 〈리틀잭〉,예스24아트원 2관,2025-06-28,2025-09-21,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25006347_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25006347,37.58032477,127.0039986,서울 종로구 동숭동 1-181
뮤지컬 〈마리 퀴리〉,광림아트센터 BBCH홀,2025-07-25,2025-10-19,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008162_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008162,37.52404214,127.0254986,서울 강남구 신사동 568-15
뮤지컬 〈마하고니〉,링크아트센터 페이코홀,2025-06-17,2025-08-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25007379_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25007379,37.58468923,127.0022961,서울 종로구 혜화동 163-24
뮤지컬 〈맘마미아!〉,LG아트센터 서울 LG SIGNATURE 홀,2025-07-26,2025-10-25,http://ticketimage.interpark.com/rz/image/play/goods/poster/L0/L0000123_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=L0000123,37.565202,126.829652,서울 강서구 마곡중앙로 136
뮤지컬 〈머피〉,예그린씨어터,2025-06-03,2025-08-24,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25005742_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25005742,37.58388553,127.0030433,서울 종로구 동숭동 1-8
뮤지컬 〈멤피스〉,충무아트센터 대극장,2025-06-17,2025-09-21,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25005076_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25005076,37.56602692,127.0148097,서울 중구 흥인동 131
뮤지컬 〈바리케이드〉,열린극장,2025-08-13,2025-08-17,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25010408_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25010408,37.58368735,127.0003351,서울 종로구 명륜2가 21-18
뮤지컬 〈뱀프 X 헌터〉,"JS아트홀(구,고스트씨어터)",2024-04-12,2025-08-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/24/24002867_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=24002867,37.582431,127.004329,서울 종로구 동숭길 94
뮤지컬 〈번 더 위치〉,홍익대 대학로 아트센터 소극장,2025-07-08,2025-10-12,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25007601_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25007601,37.57641452,127.0013902,서울 종로구 연건동 128-8
뮤지컬 〈브로드웨이 42번가〉,샤롯데씨어터,2025-07-10,2025-09-14,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25007451_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25007451,37.51064272,127.099714,서울 송파구 잠실동 40-1
뮤지컬 〈빨래〉 - 20년의 시간 30번째 무대,NOL 유니플렉스 2관,2025-03-12,2025-09-21,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25002027_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25002027,37.58118614,127.0035277,서울 종로구 동숭동 1-99
뮤지컬 〈사랑의 하츄핑〉 - 서울앵콜,디큐브 링크아트센터,2025-08-08,2025-08-17,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008505_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008505,37.50912673,126.8895885,서울 구로구 신도림동 692
뮤지컬 〈쇼맨_어느 독재자의 네 번째 대역배우〉,국립정동극장,2025-07-11,2025-08-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25007456_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25007456,37.56585893,126.9727758,서울 중구 정동 8-11
뮤지컬 〈쉐도우〉,백암아트홀,2025-09-05,2025-10-26,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009941_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009941,37.51041409,127.0659947,서울 강남구 삼성동 170-5
